m/z (positive mode),RT,R1a_0.5h,R1b_0.5h,R1c_0.5h,R2a_0.5h,R2b_0.5h,R2c_0.5h,R3a_0.5h,R3b_0.5h,R3c_0.5h,R1a_4h,R1b_4h,R1c_4h,R2a_4h,R2b_4h,R2c_4h,R3a_4h,R3b_4h,R3c_4h,R1a_24h,R1b_24h,R1c_24h,R2a_24h,R2b_24h,R2c_24h,R3a_24h,R3b_24h,R3c_24h,R1a_48h,R1b_48h,R1c_48h,R2a_48h,R2b_48h,R2c_48h,R3a_48h,R3b_48h,R3c_48h,A1a_0.5h,A1b_0.5h,A1c_0.5h,A2a_0.5h,A2b_0.5h,A2c_0.5h,A3a_0.5h,A3b_0.5h,A3c_0.5h,A1a_4h,A1b_4h,A1c_4h,A2a_4h,A2b_4h,A2c_4h,A3a_4h,A3b_4h,A3c_4h,A1a_24h,A1b_24h,A1c_24h,A2a_24h,A2b_24h,A2c_24h,A3a_24h,A3b_24h,A3c_24h,A1a_48h,A1b_48h,A1c_48h,A2a_48h,A2b_48h,A2c_48h,A3a_48h,A3b_48h,A3c_48h
72.05744,243.2,11296,11425.71429,10978.28571,25752.47991,32822.10491,9464.571429,22424,24273.14286,26508.57143,60346,60045,61286,81147.51563,17225,17813,26644,27427,93733.10938,40488.01563,15313,16665,1447,1815,1461,2935,3985,3340,33536,30849,36014,622,799,687,21948,19760,20614,150.2857143,141.7142857,217.7142857,830.8571429,954.2857143,916,485.7142857,406.2857143,473.7142857,398,414,0,1378,1012,949,1418,1354,1316,208,242,314,0,0,0,0,338,302,0,343,435,0,0,0,197,0,0
72.05745,238.48,150840.3571,144161.9911,158407.4107,50363.25893,58407.87054,102774.0714,286298.3571,306683.7857,349012.5,886952.25,876880.75,928703.625,140502.5469,243446.8125,237146.1094,266289.7813,313277.1875,176664.5313,110548.0859,159255.5781,176267.6094,21940.00391,21811.00586,1707,48728.65625,42319.94531,57445.54297,404711.9688,357922.5313,386147.4063,7937.564941,10560.67383,9160.633789,289089.1875,264274.5313,260825.3438,150.2857143,141.7142857,217.7142857,13712.65179,15496.0346,1016,7502.794643,6261.902902,7291.52567,398,447,471,17670.99023,17406.00391,15314.41309,1660,1581,1548,0,242,330,0,0,0,284,338,3949.463623,317,356,435,0,0,0,197,206,318
72.05753,22.37,36681.3192,34334.21652,34088.56696,31190.34152,29760.89286,26153.39509,57678.92857,57694.42411,51400.00446,168133.375,159128.7344,160064.1563,62858.74609,61543.19141,64464.3125,72480.53906,73163.11719,75797.75,83788.14063,78968.22656,84395.71094,28885.41602,27415.43164,29183.25195,39071.74609,41538.42188,36436.64063,108212.4688,127732.0938,127447.9297,32465.99023,32424.95898,34554.91797,64438.72656,71244.29688,68144.10938,3428.752511,849.7142857,3876.232422,7424.152902,6297.087054,46496.15625,5341.013951,6684.680804,6357.834821,7994.305664,8684.114258,8276.787109,9918.738281,9752.833008,11113.66309,77608.51563,78484.46094,82172.76563,5826.388672,6784.057129,6749.26709,4700.143555,5256.933105,1181,6838.227539,7497.091797,7779.092773,1405,1237,7320.846191,11874.91016,10742.72461,12607.90625,14713.43945,15581.19922,15417.99609
88.06344,285.51,6373.515625,5965.902902,6675.52567,141.7142857,237.1428571,241.1428571,2137.84668,2392.866908,3199.579799,7992.700684,7524.772461,7663.518555,6754.956543,5182.620605,6884.632813,2667.993164,2670.096436,2235.746582,2242.48584,2259.19165,2419.3396,306,338,373,1415.070435,294,480,3511.950928,2431.949463,2484.030273,0,105,141,8370.894531,5864.955078,6859.371094,202.8571429,131.4285714,196.5714286,1782.220424,1954.079939,252,261.7142857,257.1428571,181.1428571,448,492,484,413,2181.058838,3887.210205,2881.953125,4294.203125,2593.355469,399,389,277,0,0,0,371,484,220,432,312,275,0,0,130,151,113,0
90.04701,481.15,166.2857143,193.1428571,144,0,0,0,115.4285714,0,106.2857143,239,241,205,234,262,224,0,0,0,0,90,0,0,0,0,0,0,0,232,221,116,0,0,0,356,260,477,0,124.5714286,0,1033.366839,1149.874721,1097.373884,135.4285714,118.8571429,146.2857143,262,177,186,2348.791504,1607.137451,2250.811523,2735.604736,2085.594727,2445.355713,266,277,297,0,0,0,438,454,308,305,294,220,0,0,0,179,0,338
90.06794,21.61,183.4285714,228,206.2857143,137.1428571,158.8571429,85.71428571,246.2857143,247.4285714,191.4285714,2466.243408,2667.552002,3084.98584,287,289,329,290,444,437,350,455,491,216,144,243,215,299,300,2245.985107,2354.25708,2242.908203,241,311,200,459,355,335,0,0,0,0,0,142.2857143,129.1428571,0,102.8571429,302,147,185,0,0,0,147,187,227,0,0,175,0,0,0,0,0,0,0,0,0,0,0,200,175,0,0
98.07314,237.1,7855.386719,6195.202009,7812.250558,2914.500279,3222.971819,4160.060826,9306.413504,9354.00279,10969.63504,2848,2975,3288,9434.264648,11740.26563,13047.31445,10426.78418,1485,1155,5915.604004,5791.693848,6064.46875,196,175,324,258,380,351,15412.99023,11543.83984,15439.03906,0,0,0,10522.00293,7830.271973,11316.85645,0,0,36.57142857,0,172,0,88,0,134.2857143,123,132,0,0,0,208,310,0,0,99,118,0,0,0,0,0,0,0,223,171,199,0,0,0,0,0,0
102.03176,22.78,249.1428571,157.7142857,209.7142857,196.5714286,141.1428571,120,166.2857143,206.2857143,186.8571429,400,293,367,365,427,366,406,260,178,1956.230347,1416.643799,1910.293457,427,398,578,379,477,439,2559.795654,2971.974365,713,473,479,561,2846.232178,721,3052.844482,2083.092773,2021.704799,1837.661551,446.8571429,2262.61077,2415.890067,1934.772042,400,2133.4488,4550.75,4722.940918,4949.29834,4572.712402,10035.30664,4449.721191,9264.084961,11016,5226.422363,2459.044434,2510.152344,2908.973877,2592.227295,2842.163574,2918.522461,3171.675537,3729.01123,3769.520508,3879.993652,891,4074.874023,3561.41333,3080.86792,3086.707764,2939.888428,3254.640137,3359.071777
104.06262,534.44,13283.07813,12986.48326,14162.11496,9367.329241,11878.19978,11166.4442,15977.68192,15818.45982,19353.25446,21974.34375,20822.02539,21002.38867,24620.00586,26541.93555,25018.02148,24488.14844,29082.61133,25518.55859,11040.11035,10873.11523,3120,3297,10320.7832,2969,4888.354492,4694.65625,1373,9890.763672,8280.986328,8879.550781,6378.151855,8245.447266,7184.938477,8970.18457,6619.822266,7967.919922,114.2857143,0,0,153.1428571,173.7142857,200.5714286,0,0,92,119,132,162,271,332,322,166,139,0,137,259,0,204,167,279,187,290,233,253,335,410,0,0,0,107,0,109
106.06293,250.82,71496.62946,72809.6875,75818.75893,9892.859375,12388.75446,13918.56027,44521.74107,51610.75446,60272.20536,112959.7578,119943.1797,122521.6797,106319.8203,108040.0703,112741,25455.60547,33943.41016,22669.24023,16270.27246,18767.32031,19883.03906,10525.69336,10283.72363,10331.52637,9729.693359,8691.90625,9728.164063,32173.91406,27995.04883,31487,2953.595459,3394.404541,3099.042969,56685.55859,52367.5,51177.35156,6018.411272,6071.592076,8628.523438,52634.70982,53413.17411,49512.27679,13309.86496,11841.50781,14576.02344,17180.80078,17075.99414,18314.86719,51510.375,46531.42188,43552.84766,37382.71094,36682.66797,38870.58984,7771.884766,8696.9375,10781.86035,183,0,107,4790.322754,5200.203125,5391.917969,16814.26172,19358.49023,21697.76758,367,335,293,3042.895752,2661.527344,3469.356689
109.06376,20.37,1177.891881,304,360,105.7142857,96.57142857,149.1428571,270.2857143,259.4285714,156,409,548,507,490,396,365,309,313,273,581,461,1663.567261,443,450,2499.873047,465,684,2012.467529,2856.700684,2997.966553,3174.377686,240,474,284,4589.481934,4105.38916,4478.044922,196,212.5714286,209.7142857,256,193.7142857,288,194.2857143,215.4285714,196.5714286,417,377,493,532,422,621,491,450,535,528,558,663,479,517,568,282,684,457,623,403,617,286,379,446,347,427,556
109.9432,23.96,396,514.2857143,540,385.7142857,405.7142857,477.1428571,0,0,0,0,0,0,0,0,0,0,0,0,4246,4356,3832,191,194,206,0,0,0,221,197,324,0,0,0,0,0,0,493.1428571,611.4285714,546.2857143,358.8571429,360,296,0,0,0,0,0,0,0,0,0,0,0,0,4331,4835,5343,181,184,196,0,0,0,110,163,93,1474,1869,1428,1596,2034,2022
