Sample,Type,Time
R1a_0.5h,Reseeded,0.5
R1b_0.5h,Reseeded,0.5
R1c_0.5h,Reseeded,0.5
R2a_0.5h,Reseeded,0.5
R2b_0.5h,Reseeded,0.5
R2c_0.5h,Reseeded,0.5
R3a_0.5h,Reseeded,0.5
R3b_0.5h,Reseeded,0.5
R3c_0.5h,Reseeded,0.5
R1a_4h,Reseeded,4
R1b_4h,Reseeded,4
R1c_4h,Reseeded,4
R2a_4h,Reseeded,4
R2b_4h,Reseeded,4
R2c_4h,Reseeded,4
R3a_4h,Reseeded,4
R3b_4h,Reseeded,4
R3c_4h,Reseeded,4
R1a_24h,Reseeded,24
R1b_24h,Reseeded,24
R1c_24h,Reseeded,24
R2a_24h,Reseeded,24
R2b_24h,Reseeded,24
R2c_24h,Reseeded,24
R3a_24h,Reseeded,24
R3b_24h,Reseeded,24
R3c_24h,Reseeded,24
R1a_48h,Reseeded,48
R1b_48h,Reseeded,48
R1c_48h,Reseeded,48
R2a_48h,Reseeded,48
R2b_48h,Reseeded,48
R2c_48h,Reseeded,48
R3a_48h,Reseeded,48
R3b_48h,Reseeded,48
R3c_48h,Reseeded,48
A1a_0.5h,Axenic,0.5
A1b_0.5h,Axenic,0.5
A1c_0.5h,Axenic,0.5
A2a_0.5h,Axenic,0.5
A2b_0.5h,Axenic,0.5
A2c_0.5h,Axenic,0.5
A3a_0.5h,Axenic,0.5
A3b_0.5h,Axenic,0.5
A3c_0.5h,Axenic,0.5
A1a_4h,Axenic,4
A1b_4h,Axenic,4
A1c_4h,Axenic,4
A2a_4h,Axenic,4
A2b_4h,Axenic,4
A2c_4h,Axenic,4
A3a_4h,Axenic,4
A3b_4h,Axenic,4
A3c_4h,Axenic,4
A1a_24h,Axenic,24
A1b_24h,Axenic,24
A1c_24h,Axenic,24
A2a_24h,Axenic,24
A2b_24h,Axenic,24
A2c_24h,Axenic,24
A3a_24h,Axenic,24
A3b_24h,Axenic,24
A3c_24h,Axenic,24
A1a_48h,Axenic,48
A1b_48h,Axenic,48
A1c_48h,Axenic,48
A2a_48h,Axenic,48
A2b_48h,Axenic,48
A2c_48h,Axenic,48
A3a_48h,Axenic,48
A3b_48h,Axenic,48
A3c_48h,Axenic,48
