"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"bin.10_k119_5632",15.473437575764,1.26484176337565,1.88251857239384,0.671888066297939,0.501654958161692,0.6275934413822
"bin.10_k119_5721",14.1269253643049,1.26831395853052,1.86368867012215,0.680539608821785,0.496162850949877,0.623330640479047
"bin.10_k119_21425",18.0808449786369,0.437805156783911,0.970557630848901,0.451086203300451,0.651927420959027,0.758468088975678
"bin.10_k119_19083",13.8578139645253,1.83910176881707,1.04125254966436,1.76623987082663,0.0773556145865451,0.165209491152693
"bin.10_k119_12557",14.6274255670751,1.56924794035813,0.998318208092657,1.57189153482061,0.115975708088343,0.218092683763613
"bin.10_k119_18674",20.498064686312,-0.952388688336941,0.974051418557704,-0.97776017794539,0.328192950728921,0.452210563446762
"bin.11_k119_4909",5.49902095995155,5.8613219268123,1.33846927265203,4.37912326160371,1.19157723749825e-05,9.60995374206502e-05
"bin.11_k119_8676",11.8151150071399,3.61445085771705,0.796944640471659,4.53538511229323,5.74984709348424e-06,5.20970994227814e-05
"bin.11_k119_16677",8.31655933087735,4.14853917707067,0.882303236805877,4.70194260205737,2.57697948703029e-06,2.96352641008483e-05
"bin.11_k119_15397",12.2149824270544,4.31639637412528,0.877432995773462,4.91934585879159,8.68339184556065e-07,2.43265031213635e-05
"bin.11_k119_5266",10.5569966429189,3.78928489970813,0.807292513578305,4.69381895158697,2.68151374691915e-06,2.96952818640306e-05
"bin.11_k119_6978",11.5758505649947,3.77398224824687,0.820469276404523,4.59978497279665,4.22927268064751e-06,4.05809617657502e-05
"bin.11_k119_3866",8.45231140808873,4.13861131787978,0.845301434950361,4.8960183276192,9.77979490875783e-07,2.43265031213635e-05
"bin.11_k119_16243",10.8288472158587,4.06368040888183,0.843440277375258,4.81798239648668,1.45017161506302e-06,2.62893854458975e-05
"bin.11_k119_20907",12.0702290386168,3.8511158870975,0.805734574244921,4.77963340558707,1.75615113149093e-06,2.91716215730993e-05
"bin.11_k119_10055",11.24819970972,3.24424139771657,0.764577386392325,4.24318251553919,2.20372061783102e-05,0.000156883920174161
"bin.11_k119_21445",10.7167200745804,3.70867216113872,0.799005527067084,4.64161014599257,3.45704655704749e-06,3.56433420881792e-05
"bin.11_k119_8424",11.6132234834785,3.89055311771442,0.80179606575229,4.85229759024084,1.22039313317877e-06,2.43265031213635e-05
"bin.11_k119_7274",12.1999039976384,3.55028949262025,0.812781507682828,4.36807365701741,1.25347222722587e-05,9.60995374206502e-05
"bin.11_k119_19950",19.8031676843923,2.24800124778949,0.743729664381955,3.02260533020099,0.00250608851204728,0.00936650581377671
"bin.11_k119_15818",9.1550776718119,2.15523664682724,0.733906091735519,2.93666542776693,0.0033176181944814,0.0112723618198857
"bin.11_k119_16892",7.67058665290603,3.65889832373249,0.826298426000553,4.42805917160254,9.50848190896203e-06,8.12296025937042e-05
"bin.11_k119_9534",10.4183455927335,3.86556333658775,0.813995539656661,4.74887532948672,2.04550983198799e-06,2.94867485347036e-05
"bin.11_k119_7776",12.6793292153537,3.91051444776368,0.825167329775338,4.73905631822381,2.14715826826849e-06,2.94867485347036e-05
"bin.12_k119_9809",284.53820265056,-1.08425098136508,1.721321707069,-0.629894445014177,0.528763647561047,0.650130708515494
"bin.12_k119_21412",141.226606638758,3.14143745652504,1.58491132233405,1.9820903619382,0.0474691280680135,0.111758025923906
"bin.12_k119_15927",165.305883721466,2.71464581002694,1.73428782978564,1.56527985920449,0.117517303531068,0.219610460973683
"bin.12_k119_11668",173.189643666091,1.06843923554444,1.71153277640692,0.624258705572351,0.532457698571308,0.650130708515494
"bin.12_k119_4382",215.489491902481,-0.253467579433433,1.72503967340596,-0.146934347853566,0.883183840480684,0.916916556610154
