contigName	SRR10420346_totalAvgDepth	SRR10420348_totalAvgDepth	SRR10420349_totalAvgDepth	SRR10420350_totalAvgDepth	SRR10420351_totalAvgDepth	SRR10420352_totalAvgDepth	SRR10420353_totalAvgDepth
bin.10_k119_5632	35.0487	0.264146	57.2982	21.6618	3.64691	0.946236	1.16516
bin.10_k119_5721	34.5202	0.169772	53.1853	19.1193	4.11291	0.962937	1.43003
bin.10_k119_21425	37.7224	0.528359	57.8033	20.1794	8.3053	1.98843	3.06813
bin.10_k119_19083	34.0301	0.152368	53.9708	18.4032	2.56808	0.678898	1.21718
bin.10_k119_12557	33.3998	0.193383	54.1113	20.8397	3.49823	1.42114	2.07625
bin.10_k119_18674	40.7089	0.646431	58.5339	18.981	18.8235	7.44752	7.60692
bin.11_k119_4909	115.559	0	13.5938	5.64613	0.0994633	0.0456361	0.517492
bin.11_k119_8676	199.836	0.889739	20.7461	10.5516	1.08053	2.22413	6.83705
bin.11_k119_16677	178.21	0.38373	17.3358	9.68198	0.61723	1.29105	3.84727
bin.11_k119_15397	200.449	0.757669	21.9998	12.6392	1.02246	1.37935	4.40957
bin.11_k119_5266	205.275	1.42435	18.5158	6.76977	1.04973	2.36087	6.00138
bin.11_k119_6978	181.562	0.743157	21.7284	11.0114	1.30828	1.79974	5.35903
bin.11_k119_3866	207.145	0.104454	15.7925	8.53723	0.888719	2.29279	4.38044
bin.11_k119_16243	194.462	0.836614	18.2362	10.2078	0.798543	1.19532	4.8737
bin.11_k119_20907	214.234	1.30314	20.47	11.5476	0.955209	2.35223	6.0598
bin.11_k119_10055	185.329	1.09422	18.4909	11.3193	1.057	3.23671	8.03839
bin.11_k119_21445	194.435	0.564545	18.2854	8.66289	0.998068	2.27617	5.88075
bin.11_k119_8424	220.381	0.688536	17.9446	10.9113	0.758225	1.82004	5.86
bin.11_k119_7274	190.966	0.825593	25.6381	9.5495	1.19976	2.04724	6.9521
bin.11_k119_19950	213.767	3.09854	25.5852	16.7975	5.35665	4.77303	17.4058
bin.11_k119_15818	182.948	0.475806	17.6416	6.96388	2.06452	6.93582	16.9616
bin.11_k119_16892	186.557	0.353855	16.6911	5.68028	0.898811	2.10215	6.27447
bin.11_k119_9534	193.726	0.890066	17.5447	8.07909	0.766994	1.89078	4.55814
bin.11_k119_7776	200.198	0.526341	21.1402	14.6029	1.40212	1.79479	5.47049
bin.12_k119_9809	929.558	18.5947	552.068	216.071	467.021	78.386	196.575
bin.12_k119_21412	870.488	3.16766	477.193	177.151	23.5857	5.36316	8.60348
