"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.30",93.2772006050752,9.47278096335308,3.05044365987977,3.10537810874581,0.00190035927427034,0.0134887068841856
"MSTRG.4",220.766810086249,-0.0599538500620497,1.521035310787,-0.0394164748424078,0.968558345091713,0.986122192132999
"MSTRG.31",532.528170822652,1.13240363833215,1.74829907960018,0.647717345130173,0.517167783583918,0.750706311151062
"MSTRG.7",703.456110599362,-0.826297756845152,1.09879601840428,-0.75200286768889,NA,NA
"MSTRG.28",1157.80699901632,-0.116583404356461,0.8971707380213,-0.12994561616397,0.89660945374828,0.953321423742017
"MSTRG.5",118.843970632659,9.82222494648443,1.68500186774701,5.82920715667667,5.56913343701766e-09,3.3803134791498e-07
"MSTRG.11",57.8734305299901,8.78427237557,1.80730088921903,4.86043714578476,1.17126827814912e-06,2.71178793718279e-05
"MSTRG.12",108.430298669204,-8.99003302501256,3.47929055945094,-2.58386957668498,NA,NA
"MSTRG.8",364.497929881583,1.00972329607643,2.09978053086868,0.480870872566241,NA,NA
"MSTRG.9",451.701067875602,-2.68031588842241,1.92779234325509,-1.39035508559842,0.164421078101715,0.378958186782464
"MSTRG.15",10.9331721611857,-2.4855188153483,3.60884628166229,-0.688729477888272,0.490993522200732,0.73034300492261
"MSTRG.2",1206.37903968149,-1.71705683193337,0.86570708871696,-1.98341546963439,0.0473210405681213,0.167571102030727
"MSTRG.6",94.9242687541086,-0.412721305115648,1.85439897776346,-0.222563380407716,0.823875339773943,0.92411309462807
"MSTRG.17",73.2395305660233,7.20131789101435,1.70542458598409,4.22259532916193,2.41505199092142e-05,0.000350823011721302
"MSTRG.18",24.6036998036506,7.54997592026658,2.28617721592606,3.3024456143083,0.000958456722374567,0.00765470166112661
"MSTRG.21",6.10169762964977,5.53796658770369,3.91094769945032,1.41601652931387,0.156770664996551,0.367971947584923
"MSTRG.23",22.1668096868182,1.25839359890476,3.29192444250324,0.382266853593958,0.702263438117003,0.865694908954612
"MSTRG.24",0.600042349766698,-0.89971405889459,4.00636562454313,-0.224571130848096,0.822312925493946,NA
"MSTRG.22",304.981143028143,1.47656133665392,1.21073078603384,1.21956206423965,0.222630934701881,0.463671905328211
"MSTRG.26",45.2445530729487,8.42922583798551,2.35693750028431,3.57634677922885,0.000348429382229742,0.00334951120554584
"MSTRG.29",249.947738291795,0.468015461512617,1.09197011626148,0.428597316486036,0.668216298774233,0.847746109923835
"MSTRG.38",4.04172065310014,4.94425010048737,3.91307828861866,1.26351934099246,0.206402600324324,NA
"MSTRG.33",1472.10702120417,-1.65077189538623,0.693900705900701,-2.3789742269299,0.0173608897583613,0.0794075075750056
"MSTRG.37",103.257383387806,0.605076573450208,2.36259953993996,0.256106277522421,0.797868774839592,0.90938575646303
"MSTRG.41",35.3777073590174,8.07443662023793,2.14349024360145,3.76695748643644,0.000165249127674294,0.00180504129830218
"MSTRG.34",532.234973755945,2.5894210214847,1.31243998727972,1.97298241944896,0.0484975653553684,0.170190897065515
"MSTRG.35",525.914543603322,-0.966918429784987,1.04315182116158,-0.926920137768914,0.353968000713546,0.61463341322702
"MSTRG.40",39.1399910639169,8.22002648535715,1.93815779652373,4.24115440966703,2.2237308286093e-05,0.000327693877617504
"MSTRG.36",119.446681042238,-9.14420589052419,2.77213540029036,-3.29861445063845,NA,NA
"MSTRG.43",781.60809361707,-1.67727852389581,1.12237937587165,-1.49439535325854,0.135072315390256,0.337575568554905
"MSTRG.44",145.520913825608,6.07865447054524,1.26223694550218,4.81577923400654,1.4662656245413e-06,3.2378616543209e-05
"MSTRG.46",127.690109797184,1.08672615563028,1.47819465816542,0.735171210115867,0.46223523026426,0.7089861643887
"MSTRG.45",52.2808999030863,1.02865110473604,1.73653658410904,0.592357865736414,0.553610974566096,0.775801526694457
"MSTRG.47",137.577161529399,1.10995371467283,2.09831616812889,0.528973531983313,0.596823810945325,0.805786497556476
"MSTRG.48",236.134824588656,-1.39004247965923,1.78427152418291,-0.779053221900062,0.435948364025781,0.68517815418126
"MSTRG.49",184.646492433014,-1.07524843640985,1.8341123054161,-0.586250053082715,0.557707490208563,0.778355301507854
"MSTRG.51",68.1739444509463,1.12991699087819,3.16407694454034,0.357107937222538,0.721011002688853,0.872603703580378
"MSTRG.52",1450.37565040608,1.01419578520207,0.788154419083283,1.28679832358448,0.198164591417627,0.430154687227631
"MSTRG.53",245.772705934268,10.8705465425748,1.64496318770465,6.60838286463018,3.88540782414311e-11,5.76682703493155e-09
"MSTRG.55",12.6242828203031,6.58747005494159,3.29080060066218,2.00178341210223,NA,NA
"MSTRG.54",751.047011650284,-0.382465389075373,1.48369768301969,-0.257778517451723,0.796577844898184,0.909054216375466
"MSTRG.68",0.216798178141589,0.701537152199774,4.02456501467947,0.174313782891055,0.861618867887959,NA
"MSTRG.67",313.922717851859,-0.136535748189262,1.80268553933575,-0.0757401916251974,0.939625799518536,0.973508754427902
"MSTRG.69",65.1905978150246,8.95602242168731,2.25108152377293,3.97854201507396,6.93391594808645e-05,0.000852803309759723
"MSTRG.62",0.515302383290775,-3.27739601964666,4.03000330455582,-0.813248965811429,0.416075330480738,NA
"MSTRG.56",679.05786197251,12.3367351292244,1.58740835955466,7.77162036155931,7.74883985080817e-15,4.14341536593928e-12
"MSTRG.57",676.321621446945,-0.371076500116799,0.757768967432834,-0.489696089527036,0.624348969414529,0.823155404198162
"MSTRG.58",20.6408960061264,7.29645923566877,3.77736093656475,1.93162881657383,NA,NA
"MSTRG.59",416.084834397645,0.104131544054856,1.49076302905634,0.0698511715311131,0.944312117616754,0.975409876618391
"MSTRG.60",417.48093099979,-0.0293832075870083,1.77370042048,-0.0165660487237505,0.986782810033563,0.993952652840588
"MSTRG.61",132.42996286206,5.64718367436488,1.39582006007305,4.04578200005905,5.21487461901004e-05,0.000670765487936583
"MSTRG.63",906.50523368872,-2.53539349275502,0.934977290597884,-2.71171665691872,0.00669357819891042,0.0377509741815997
"MSTRG.64",84.6267270680239,4.06805019866064,1.57662275201629,2.58023055512687,0.00987343724459861,0.0511387577581171
"MSTRG.65",178.053576368971,0.897369109313012,1.04588273507633,0.858001647046522,0.390891553954255,0.646534284777188
"MSTRG.66",912.29086192504,-1.29741487084033,1.49114213390427,-0.870081289597325,0.384255981918761,0.641289125656046
"MSTRG.70",321.115320216665,2.3152886042346,1.5173543181925,1.52587208964655,0.127041722793358,0.324954784794219
