MSTRG.1	MSTRG.1.1
MSTRG.5	MSTRG.5.1
MSTRG.11	MSTRG.11.1
MSTRG.12	MSTRG.12.1
MSTRG.8	MSTRG.8.1
MSTRG.9	MSTRG.9.1
MSTRG.10	MSTRG.10.1
MSTRG.2	MSTRG.2.1
MSTRG.3	MSTRG.3.1
MSTRG.14	MSTRG.14.1
MSTRG.4	MSTRG.4.1
MSTRG.30	MSTRG.30.1
MSTRG.13	MSTRG.13.1
MSTRG.31	MSTRG.31.1
MSTRG.31	MSTRG.31.2
MSTRG.31	MSTRG.31.3
MSTRG.7	MSTRG.7.1
MSTRG.28	MSTRG.28.1
MSTRG.6	MSTRG.6.1
MSTRG.17	MSTRG.17.1
MSTRG.18	MSTRG.18.1
MSTRG.19	MSTRG.19.1
MSTRG.20	MSTRG.20.1
MSTRG.21	MSTRG.21.1
MSTRG.22	MSTRG.22.1
MSTRG.23	MSTRG.23.1
MSTRG.24	MSTRG.24.1
MSTRG.25	MSTRG.25.1
MSTRG.15	MSTRG.15.1
MSTRG.16	MSTRG.16.1
MSTRG.26	MSTRG.26.1
MSTRG.27	MSTRG.27.1
MSTRG.29	MSTRG.29.1
MSTRG.33	MSTRG.33.1
MSTRG.38	MSTRG.38.1
MSTRG.37	MSTRG.37.1
MSTRG.41	MSTRG.41.1
MSTRG.32	MSTRG.32.1
MSTRG.35	MSTRG.35.1
MSTRG.40	MSTRG.40.1
MSTRG.36	MSTRG.36.1
MSTRG.39	MSTRG.39.1
MSTRG.42	MSTRG.42.1
MSTRG.43	MSTRG.43.1
MSTRG.44	MSTRG.44.1
MSTRG.45	MSTRG.45.1
MSTRG.46	MSTRG.46.1
MSTRG.47	MSTRG.47.1
MSTRG.48	MSTRG.48.1
MSTRG.49	MSTRG.49.1
MSTRG.34	MSTRG.34.1
MSTRG.50	MSTRG.50.1
MSTRG.51	MSTRG.51.1
MSTRG.52	MSTRG.52.1
MSTRG.53	MSTRG.53.1
MSTRG.54	MSTRG.54.1
MSTRG.55	MSTRG.55.1
MSTRG.56	MSTRG.56.1
MSTRG.57	MSTRG.57.1
MSTRG.58	MSTRG.58.1
MSTRG.59	MSTRG.59.1
MSTRG.60	MSTRG.60.1
MSTRG.61	MSTRG.61.1
MSTRG.62	MSTRG.62.1
MSTRG.63	MSTRG.63.1
MSTRG.64	MSTRG.64.1
MSTRG.65	MSTRG.65.1
MSTRG.66	MSTRG.66.1
MSTRG.67	MSTRG.67.1
MSTRG.68	MSTRG.68.1
MSTRG.69	MSTRG.69.1
MSTRG.70	MSTRG.70.1
MSTRG.71	MSTRG.71.1
MSTRG.72	MSTRG.72.1
MSTRG.73	MSTRG.73.1
MSTRG.74	MSTRG.74.1
MSTRG.75	MSTRG.75.1
MSTRG.77	MSTRG.77.1
MSTRG.77	MSTRG.77.2
MSTRG.76	MSTRG.76.1
MSTRG.78	MSTRG.78.1
MSTRG.79	MSTRG.79.1
MSTRG.80	MSTRG.80.1
MSTRG.81	MSTRG.81.1
MSTRG.82	MSTRG.82.1
MSTRG.83	MSTRG.83.1
MSTRG.84	MSTRG.84.1
MSTRG.85	MSTRG.85.1
MSTRG.86	MSTRG.86.1
MSTRG.87	MSTRG.87.1
MSTRG.88	MSTRG.88.1
MSTRG.89	MSTRG.89.1
MSTRG.90	MSTRG.90.1
MSTRG.91	MSTRG.91.1
MSTRG.92	MSTRG.92.1
MSTRG.93	MSTRG.93.1
MSTRG.94	MSTRG.94.1
MSTRG.95	MSTRG.95.1
MSTRG.96	MSTRG.96.1
MSTRG.97	MSTRG.97.1
MSTRG.98	MSTRG.98.1
MSTRG.99	MSTRG.99.1
MSTRG.100	MSTRG.100.1
MSTRG.102	MSTRG.102.1
MSTRG.101	MSTRG.101.1
MSTRG.103	MSTRG.103.1
MSTRG.104	MSTRG.104.1
MSTRG.105	MSTRG.105.1
MSTRG.106	MSTRG.106.1
MSTRG.107	MSTRG.107.1
MSTRG.108	MSTRG.108.1
MSTRG.109	MSTRG.109.1
MSTRG.111	MSTRG.111.1
MSTRG.110	MSTRG.110.1
MSTRG.112	MSTRG.112.1
MSTRG.113	MSTRG.113.1
MSTRG.114	MSTRG.114.1
MSTRG.115	MSTRG.115.1
MSTRG.116	MSTRG.116.1
MSTRG.117	MSTRG.117.1
MSTRG.118	MSTRG.118.1
MSTRG.119	MSTRG.119.1
MSTRG.120	MSTRG.120.1
MSTRG.121	MSTRG.121.1
MSTRG.122	MSTRG.122.1
MSTRG.123	MSTRG.123.1
MSTRG.124	MSTRG.124.1
MSTRG.125	MSTRG.125.1
MSTRG.126	MSTRG.126.1
MSTRG.127	MSTRG.127.1
MSTRG.128	MSTRG.128.1
MSTRG.129	MSTRG.129.1
MSTRG.130	MSTRG.130.1
MSTRG.131	MSTRG.131.1
MSTRG.132	MSTRG.132.1
MSTRG.133	MSTRG.133.1
MSTRG.134	MSTRG.134.1
MSTRG.135	MSTRG.135.1
MSTRG.136	MSTRG.136.1
MSTRG.137	MSTRG.137.1
MSTRG.139	MSTRG.139.1
