transcript_id,SRR10416456-sorted,SRR10416457-sorted,SRR10416458-sorted,SRR10416459-sorted,SRR10416460-sorted,SRR10416461-sorted,SRR10416462-sorted,SRR10416463-sorted,SRR10416464-sorted,SRR10416465-sorted,SRR10416466-sorted,SRR10416467-sorted
MSTRG.30.1,0,0,0,155,0,0,0,0,829,167,202,0
MSTRG.4.1,340,2128,2,202,375,2,81,490,166,660,1416,1338
MSTRG.31.3,0,0,0,0,0,0,0,0,0,0,0,777
MSTRG.31.1,337,1434,5,271,292,268,0,436,1271,1419,40,349
MSTRG.31.2,248,0,0,705,0,68,0,0,0,736,468,716
MSTRG.7.1,795,187,1,1079,152,160,1915,470,882,992,1616,626
MSTRG.28.1,1105,412,83,486,1250,822,293,1794,1934,2990,622,2508
MSTRG.5.1,520,0,17,60,0,0,0,169,285,420,69,120
MSTRG.11.1,141,0,0,0,0,0,0,112,227,249,11,16
MSTRG.12.1,2,0,0,0,420,0,0,0,0,0,0,5
MSTRG.8.1,1019,80,578,755,468,0,2,466,1054,385,422,939
MSTRG.9.1,110,0,0,299,636,0,1184,0,33,547,61,90
MSTRG.15.1,10,0,17,10,36,0,0,73,6,0,357,76
MSTRG.2.1,554,22,69,672,416,1187,2579,372,862,1656,753,1721
MSTRG.6.1,73,112,0,122,130,76,0,17,307,41,18,279
MSTRG.17.1,155,1,25,366,2,0,0,29,127,522,4,41
MSTRG.18.1,128,0,0,370,0,0,0,131,28,96,47,109
MSTRG.21.1,36,0,0,0,0,0,0,0,23,0,0,62
MSTRG.23.1,42,0,0,0,0,24,0,0,0,132,30,50
MSTRG.24.1,2,2167,0,28,0,0,2,2,0,0,28,53
MSTRG.22.1,581,43,0,812,203,97,10,1258,483,1373,450,1822
MSTRG.26.1,96,0,0,196,0,0,0,0,10,404,0,27
MSTRG.29.1,560,973,84,230,245,78,107,277,91,902,371,1806
MSTRG.38.1,2,0,0,0,0,0,0,0,40,0,2,52
MSTRG.33.1,1637,671,25,169,1018,1830,1854,2572,957,1033,5000,9137
MSTRG.37.1,144,0,0,3,159,0,0,139,197,332,660,643
MSTRG.41.1,61,0,0,54,0,0,0,0,57,278,0,32
MSTRG.34.1,1297,436,153,906,2,118,225,324,1562,1985,582,1128
MSTRG.35.1,851,0,71,0,435,361,717,10,818,90,2,98
MSTRG.40.1,108,0,0,2,0,0,0,74,122,188,0,22
MSTRG.36.1,2,0,0,5,449,13,0,45,0,0,51,316
MSTRG.43.1,373,704,315,661,353,122,2459,99,685,957,149,320
MSTRG.44.1,349,0,0,311,6,0,3,92,298,919,152,363
MSTRG.46.1,32,1741,128,109,9,131,15,226,502,421,19,190
MSTRG.45.1,80,115,2,84,15,49,0,0,97,204,0,179
MSTRG.47.1,463,3,0,110,3,157,0,38,24,495,0,56
MSTRG.48.1,386,39,0,317,2,360,377,15,241,4,430,191
MSTRG.49.1,107,169,1,348,340,138,0,31,408,105,109,269
MSTRG.51.1,384,20,0,4,83,0,0,98,54,0,15,126
MSTRG.52.1,2737,1755,106,2647,1120,418,406,1426,3958,3516,1974,3979
MSTRG.53.1,996,335,2233,795,0,0,0,54,415,1170,0,321
MSTRG.55.1,2,0,0,218,0,0,0,3,128,2,41,60
MSTRG.54.1,798,360,299,921,944,664,4,726,1590,1043,801,1825
MSTRG.68.1,2,0,0,3,0,0,0,0,0,0,0,66
MSTRG.67.1,412,0,254,299,528,104,0,332,652,507,467,856
MSTRG.69.1,13,0,0,181,0,0,0,0,503,187,0,25
MSTRG.62.1,0,0,0,0,2,0,0,2,0,0,0,158
MSTRG.56.1,3363,1411,4,859,0,0,0,0,1706,1805,5,148
MSTRG.57.1,552,942,275,407,779,303,512,981,1082,1569,1620,948
MSTRG.58.1,185,0,0,0,0,0,0,0,0,7,0,0
MSTRG.59.1,1107,3,157,366,204,540,4,198,735,301,413,865
MSTRG.60.1,629,0,2,1882,0,145,894,376,741,806,435,693
MSTRG.61.1,830,85,0,397,0,6,5,46,195,253,22,717
MSTRG.63.1,239,0,0,72,1967,551,606,1169,757,418,541,1258
