# Pathway	reseeded_24.bin.14.bam_Coverage
UNMAPPED	1.0000000000
UNINTEGRATED	1.0000000000
UNINTEGRATED|unclassified	1.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)	0.8394689379
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	0.8394689379
VALSYN-PWY: L-valine biosynthesis	0.8163382330
VALSYN-PWY: L-valine biosynthesis|unclassified	0.8163382330
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.5172664002
FASYN-ELONG-PWY: fatty acid elongation -- saturated|unclassified	0.5172664002
PWY-7664: oleate biosynthesis IV (anaerobic)	0.4846647354
PWY-7664: oleate biosynthesis IV (anaerobic)|unclassified	0.4846647354
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.4546953135
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|unclassified	0.4546953135
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.4558512744
PWY-5989: stearate biosynthesis II (bacteria and plants)|unclassified	0.4558512744
PWY-5973: cis-vaccenate biosynthesis	0.4160032555
PWY-5973: cis-vaccenate biosynthesis|unclassified	0.4160032555
PWY0-862: (5Z)-dodecenoate biosynthesis I	0.4470929313
PWY0-862: (5Z)-dodecenoate biosynthesis I|unclassified	0.4470929313
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.0936611155
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	0.0936611155
HISDEG-PWY: L-histidine degradation I	0.1188342225
HISDEG-PWY: L-histidine degradation I|unclassified	0.1188342225
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.0312596576
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	0.0312596576
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.0312596576
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	0.0312596576
PWY-7858: (5Z)-dodecenoate biosynthesis II	0.0049760252
PWY-7858: (5Z)-dodecenoate biosynthesis II|unclassified	0.0049760252
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.0094028600
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	0.0094028600
PWY-6124: inosine-5'-phosphate biosynthesis II	0.0067399647
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	0.0067399647
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	0.0000208351
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|unclassified	0.0000208351
PWY-6123: inosine-5'-phosphate biosynthesis I	0.0019609753
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	0.0019609753
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.0000121558
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified	0.0000121558
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.0003988752
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	0.0003988752
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.0000069472
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	0.0000069472
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0.0000069470
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|unclassified	0.0000069470
PWY-6823: molybdopterin biosynthesis	0.0000279003
PWY-6823: molybdopterin biosynthesis|unclassified	0.0000279003
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.0000052102
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.0000052102
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.0000052102
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	0.0000052102
