"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"bin.10_k119_5632",15.473437575764,-4.47935832868617,1.40676090406926,-3.18416464072109,0.00145172416949513,0.007565539457145
"bin.10_k119_5721",14.1269253643049,-4.34976118756271,1.39704949369851,-3.11353406388435,0.00184861169111715,0.00888437260507046
"bin.10_k119_21425",18.0808449786369,-3.75877556811726,0.761060165042575,-4.93886783301421,7.8577444844795e-07,1.94630286461723e-05
"bin.10_k119_19083",13.8578139645253,-5.13992913131775,0.880915871616425,-5.83475595902967,5.38693534714374e-09,2.47799025968612e-07
"bin.10_k119_12557",14.6274255670751,-4.99074843230262,0.836591602230376,-5.96557318887394,2.43776745966997e-09,1.56992224402746e-07
"bin.10_k119_18674",20.498064686312,-2.24079140016028,0.737007102117014,-3.04039322514495,0.00236269450606084,0.0105664948743276
"bin.11_k119_4909",5.49902095995155,-5.73492967879554,1.30363850766137,-4.39917173748081,1.08664810188431e-05,0.0001399602755227
"bin.11_k119_8676",11.8151150071399,-3.4827299783038,0.722963742716635,-4.81729549149584,1.45517111478877e-06,3.12376732641322e-05
"bin.11_k119_16677",8.31655933087735,-3.85191616709468,0.825394406474564,-4.66675826353978,3.05988969552203e-06,5.79579107034172e-05
"bin.11_k119_15397",12.2149824270544,-4.31359118844531,0.807492214884826,-5.34196009438997,9.19468991467154e-08,3.70086269065529e-06
"bin.11_k119_5266",10.5569966429189,-3.32213298214603,0.747321401280823,-4.44538718743003,8.77337108588013e-06,0.000122827195202322
"bin.11_k119_6978",11.5758505649947,-3.81499912294051,0.750573136313739,-5.08278132851512,3.7194782056376e-07,1.19767198221531e-05
"bin.11_k119_3866",8.45231140808873,-3.51610547441345,0.793968957033451,-4.42851756767779,9.48829914945045e-06,0.000127301346921794
"bin.11_k119_16243",10.8288472158587,-3.80792602440139,0.783085309804168,-4.86272182190938,1.15782511227021e-06,2.66299775822148e-05
"bin.11_k119_20907",12.0702290386168,-3.63542505281102,0.734814593926338,-4.94740453287112,7.52095694213776e-07,1.94630286461723e-05
"bin.11_k119_10055",11.24819970972,-3.11196248976911,0.695614370483282,-4.47368919018601,7.68814717466459e-06,0.000112526517738273
"bin.11_k119_21445",10.7167200745804,-3.39625776970738,0.738915013547613,-4.59627657773737,4.30107700594236e-06,7.28919366270231e-05
"bin.11_k119_8424",11.6132234834785,-3.50819910730731,0.73693610593276,-4.76052004924754,1.93094749981557e-06,3.88603184337884e-05
"bin.11_k119_7274",12.1999039976384,-3.60691860777746,0.728667352679749,-4.95002087648451,7.42055213791283e-07,1.94630286461723e-05
"bin.11_k119_19950",19.8031676843923,-2.62062612228694,0.623173243928045,-4.20529306709056,2.60744063651766e-05,0.000310961438873587
"bin.11_k119_15818",9.1550776718119,-1.67081888911654,0.661842908313089,-2.52449466199636,0.0115864764567238,0.0369390635550998
"bin.11_k119_16892",7.67058665290603,-3.02437772092269,0.772036034210941,-3.91740487089279,8.95073493464804e-05,0.000873374742108082
"bin.11_k119_9534",10.4183455927335,-3.49411329024218,0.758362606712146,-4.60744406345507,4.07648816873699e-06,7.28919366270231e-05
"bin.11_k119_7776",12.6793292153537,-3.96424097158887,0.749201582403052,-5.29128750485767,1.21458254646104e-07,4.34550644400505e-06
"bin.12_k119_9809",284.53820265056,-0.927205987204211,1.22102694015238,-0.759365708252515,0.447633820851073,0.56747279651199
"bin.12_k119_21412",141.226606638758,-4.73927854383213,1.13567288465972,-4.17310178648156,3.00480618440983e-05,0.00034555271120713
"bin.12_k119_15927",165.305883721466,-4.25502030881166,1.23617362278583,-3.44208954986645,0.000577239125527937,0.00364452938078423
"bin.12_k119_11668",173.189643666091,-2.62251993818231,1.21671697546786,-2.15540671418173,0.0311300214225978,0.0835322241506373
"bin.12_k119_4382",215.489491902481,-1.32723313475094,1.22485954996043,-1.08357985598741,0.278551126341342,0.430969019691689
"bin.12_k119_1384",139.71475079742,-3.50480293473917,1.16697857498683,-3.00331386527703,0.00267056854457136,0.0115545239655032
"bin.12_k119_12270",148.102075975793,-3.68503315374018,1.16616577763224,-3.15995652112361,0.00157792684093298,0.00793894441844403
"bin.12_k119_12319",150.670840553754,-5.43815892799234,1.26175931831053,-4.30998118981511,1.63268432845259e-05,0.000202201674523743
"bin.12_k119_14951",144.625204860719,-3.66838272612752,1.18622705986481,-3.09247938294848,0.00198492021039425,0.00926296098183983
"bin.12_k119_10662",148.004337709476,-3.47486574087747,1.13249325480705,-3.06833239503004,0.00215257039536646,0.00984307246204159
"bin.12_k119_12950",137.042732807321,-4.15917906574614,1.19313027222689,-3.48593876340372,0.000490413253618127,0.00315826135330074
"bin.12_k119_11424",152.751999524519,-4.91062405432819,1.24332275716242,-3.94959717904263,7.82828240917713e-05,0.000804206884373378
"bin.12_k119_19927",144.185445513776,-3.89850275104098,1.19296487648261,-3.26791075570933,0.00108344523404863,0.00634307937024834
"bin.12_k119_4485",140.467449676049,-3.50750481582871,1.24433009191804,-2.81878967535228,0.00482050930083102,0.0182612234690305
"bin.12_k119_11449",159.348690146179,-4.84985075030818,1.24825221000415,-3.88531316943716,0.000102198061767233,0.000961045249286738
"bin.12_k119_10736",162.101709353302,-2.27176259433924,1.19787772784821,-1.89648955108305,0.0578953403746913,0.134117263314033
"bin.12_k119_8724",153.851035248368,-3.93812448073585,1.21914928094607,-3.23022335515781,0.00123693545355862,0.00675073247535382
"bin.12_k119_16764",190.557488226541,-3.81241153196763,1.17391281771101,-3.24761044810924,0.00116378485819001,0.00657436358486285
