contigName	contigLen	totalAvgDepth	SRR10420349_mapped_all.sorted.bam	SRR10420349_mapped_all.sorted.bam-var
bin.10_k119_5632	152316	57.2982	57.2982	7251.4
bin.10_k119_5721	132952	53.1853	53.1853	2467.68
bin.10_k119_21425	284226	57.8033	57.8033	2109.7
bin.10_k119_19083	306152	53.9708	53.9708	3913.85
bin.10_k119_12557	773930	54.1113	54.1113	2445.98
bin.10_k119_18674	93269	58.5339	58.5339	2810.68
bin.11_k119_4909	24933	13.5938	13.5938	762.601
bin.11_k119_8676	128582	20.7461	20.7461	1269.61
bin.11_k119_16677	175161	17.3358	17.3358	1009.85
bin.11_k119_15397	267875	21.9998	21.9998	3031.34
bin.11_k119_5266	74233	18.5158	18.5158	967.134
bin.11_k119_6978	122937	21.7284	21.7284	1063.9
bin.11_k119_3866	32231	15.7925	15.7925	786.752
bin.11_k119_16243	475918	18.2362	18.2362	1308.38
bin.11_k119_20907	477987	20.47	20.47	1360.62
bin.11_k119_10055	133083	18.4909	18.4909	715.554
bin.11_k119_21445	410659	18.2854	18.2854	1080.5
bin.11_k119_8424	90064	17.9446	17.9446	920.433
bin.11_k119_7274	45349	25.6381	25.6381	1201.72
bin.11_k119_19950	362497	25.5852	25.5852	3566.92
bin.11_k119_15818	14906	17.6416	17.6416	3362.25
bin.11_k119_16892	65691	16.6911	16.6911	929.058
bin.11_k119_9534	382089	17.5447	17.5447	976.267
bin.11_k119_7776	218951	21.1402	21.1402	1850.61
bin.12_k119_9809	27573	552.068	552.068	60800.3
bin.12_k119_21412	52147	477.193	477.193	119405
bin.12_k119_15927	63942	576.925	576.925	273597
bin.12_k119_11668	49663	543.159	543.159	278479
bin.12_k119_4382	108200	524.458	524.458	137078
bin.12_k119_1384	165383	473.888	473.888	116119
bin.12_k119_12270	403395	491.623	491.623	118710
bin.12_k119_12319	13881	559.371	559.371	112705
bin.12_k119_14951	334406	495.406	495.406	125384
bin.12_k119_10662	271770	484.91	484.91	90631
bin.12_k119_12950	430295	483.534	483.534	47083.9
bin.12_k119_11424	93574	528.373	528.373	452557
bin.12_k119_19927	165803	500.118	500.118	64480.4
bin.12_k119_4485	64840	479.272	479.272	35637.2
bin.12_k119_11449	82312	579.27	579.27	42818.2
bin.12_k119_10736	173595	483.663	483.663	47025.1
bin.12_k119_8724	519753	524.198	524.198	108022
bin.12_k119_16764	49119	637.122	637.122	169928
bin.12_k119_10835	45079	499.123	499.123	65184.7
bin.12_k119_13254	159515	562.781	562.781	134366
bin.12_k119_13305	127994	496.87	496.87	114237
bin.12_k119_21315	7379	648.612	648.612	61144.1
bin.12_k119_12631	243422	500.792	500.792	61099.6
bin.12_k119_18940	5227	648.29	648.29	210615
bin.12_k119_12764	141502	521.078	521.078	140363
bin.13_k119_11638	23617	6.93054	6.93054	260.129
bin.13_k119_6745	141287	8.81779	8.81779	454.002
bin.13_k119_21413	108847	8.30279	8.30279	429.644
bin.13_k119_4955	125761	9.69929	9.69929	532.323
bin.13_k119_20303	105258	12.0621	12.0621	767.125
bin.13_k119_19035	490590	9.01656	9.01656	561.901
bin.13_k119_15073	107635	9.87513	9.87513	803.221
bin.13_k119_12196	28431	24.1865	24.1865	1571.61
bin.13_k119_16404	343296	8.60032	8.60032	324.919
bin.13_k119_13078	145737	10.6949	10.6949	400.417
bin.13_k119_14067	189036	10.409	10.409	524.117
bin.13_k119_21793	165605	8.83843	8.83843	1202.14
bin.13_k119_12745	406848	8.48945	8.48945	347.31
bin.14_k119_17981	105637	9.344	9.344	200.453
bin.14_k119_1502	16657	9.30805	9.30805	266.174
bin.14_k119_3860	15484	7.8892	7.8892	166.155
bin.14_k119_15564	84810	11.6922	11.6922	287.622
bin.14_k119_17550	191528	7.62082	7.62082	169.658
bin.14_k119_20371	74760	9.39369	9.39369	258.462
bin.14_k119_15661	97764	7.19495	7.19495	131.746
bin.14_k119_20986	15230	5.41459	5.41459	100.884
bin.14_k119_14645	286147	8.28171	8.28171	203.409
bin.14_k119_3876	602759	7.66996	7.66996	169.647
bin.14_k119_19112	448326	8.8132	8.8132	191.665
bin.14_k119_15276	587615	8.88331	8.88331	193.752
bin.14_k119_18583	287651	8.02157	8.02157	185.372
bin.14_k119_21713	499264	7.28739	7.28739	151.204
bin.14_k119_12791	105635	9.14143	9.14143	183.94
bin.14_k119_21854	1.17529e+06	7.70352	7.70352	196.649
bin.14_k119_21907	112606	5.20696	5.20696	93.4264
bin.15_k119_2097	21782	72.1015	72.1015	31935.4
bin.15_k119_9466	244176	69.1073	69.1073	12259.3
bin.15_k119_12968	453576	62.2818	62.2818	6876.43
bin.15_k119_8727	149726	65.6518	65.6518	30083.3
bin.15_k119_13821	859775	62.8228	62.8228	10921.5
bin.15_k119_17126	470346	60.5694	60.5694	6524.8
bin.1_k119_6508	251506	408.098	408.098	126380
bin.1_k119_21897	2.41251e+06	393.341	393.341	42872.1
bin.2_k119_12908	9247	56.7018	56.7018	6316.78
bin.2_k119_4392	118443	55.8838	55.8838	3521.37
bin.2_k119_13677	108031	65.5785	65.5785	6215.72
bin.2_k119_9834	327643	62.5013	62.5013	3740
bin.2_k119_14458	312425	61.3712	61.3712	4037.98
bin.3_k119_15936	27797	20.7059	20.7059	4019.41
bin.3_k119_3792	79729	13.4542	13.4542	712.482
bin.3_k119_19701	228527	20.796	20.796	2210.95
bin.3_k119_6867	25986	40.9452	40.9452	17514.3
bin.3_k119_9190	194789	75.5716	75.5716	66002.7
bin.3_k119_11286	66744	19.9886	19.9886	1159.44
bin.3_k119_15580	83245	38.0255	38.0255	4777.24
bin.3_k119_7355	913651	28.0084	28.0084	3433.68
bin.3_k119_16760	603334	18.7575	18.7575	3165.59
bin.3_k119_10807	298608	35.0683	35.0683	10368.3
bin.3_k119_21656	343659	40.6844	40.6844	155799
bin.3_k119_12603	265969	35.2423	35.2423	7439.91
bin.3_k119_12755	206963	20.6534	20.6534	3181.51
bin.4_k119_14186	24278	4.29435	4.29435	113.647
bin.4_k119_17144	201887	4.17152	4.17152	135.574
bin.4_k119_8688	17993	14.228	14.228	2453.29
bin.5_k119_7964	4098	16.9886	16.9886	726.967
bin.5_k119_18375	16381	16.9168	16.9168	1259.52
bin.5_k119_13556	18145	3.85368	3.85368	76.6566
bin.5_k119_86	52945	5.32164	5.32164	469.664
bin.5_k119_8090	29675	16.9884	16.9884	4525.75
bin.5_k119_9183	139042	7.31175	7.31175	316.33
bin.5_k119_3250	11603	3.22701	3.22701	74.466
bin.5_k119_3311	2996	6.79831	6.79831	137.494
bin.5_k119_1973	96270	4.72184	4.72184	379.941
bin.5_k119_213	3573	2.3196	2.3196	32.6154
bin.5_k119_226	22481	11.2367	11.2367	380.246
bin.5_k119_20815	261053	8.44174	8.44174	1633.02
bin.5_k119_6838	60232	6.31653	6.31653	170.447
bin.5_k119_8162	109633	8.90409	8.90409	296.307
bin.5_k119_2086	15654	2.18569	2.18569	56.7558
bin.5_k119_6919	20857	3.77346	3.77346	88.8566
bin.5_k119_11982	81993	7.64702	7.64702	710.466
bin.5_k119_3854	106726	5.02979	5.02979	139.121
bin.5_k119_20869	84331	3.67933	3.67933	151.502
bin.5_k119_1107	30212	3.90759	3.90759	123.415
bin.5_k119_8185	101968	3.66783	3.66783	102.109
bin.5_k119_9197	46593	3.86571	3.86571	127.578
bin.5_k119_12107	3646	0.14159	0.14159	0.213117
bin.5_k119_8709	194016	3.69337	3.69337	112.645
bin.5_k119_2934	103688	4.96689	4.96689	184.554
bin.5_k119_3862	154420	2.63421	2.63421	62.8034
bin.5_k119_12405	29049	8.70352	8.70352	281.399
bin.5_k119_13762	281485	5.25529	5.25529	204.255
bin.5_k119_14591	4199	1.91924	1.91924	12.9068
bin.5_k119_6592	50274	6.84131	6.84131	405.447
bin.5_k119_7163	193291	3.64865	3.64865	93.1665
bin.5_k119_8414	277131	4.0424	4.0424	141.222
bin.5_k119_4591	68472	4.05645	4.05645	102.202
bin.5_k119_20507	128861	2.76235	2.76235	71.7567
bin.5_k119_21452	16537	2.53097	2.53097	189.333
bin.5_k119_20588	70283	3.25767	3.25767	68.2597
bin.5_k119_20941	88677	8.17003	8.17003	329.016
bin.5_k119_20156	4407	8.44703	8.44703	147.476
bin.5_k119_4801	283799	5.19079	5.19079	292.02
bin.5_k119_6677	184609	4.1361	4.1361	122.948
bin.5_k119_10920	38687	7.73939	7.73939	425.462
bin.5_k119_10947	92350	3.08975	3.08975	92.1259
bin.5_k119_10949	36049	1.80144	1.80144	26.1941
bin.5_k119_10952	19086	7.12933	7.12933	3438.67
bin.5_k119_7686	221934	3.81857	3.81857	156.716
bin.5_k119_21210	171754	3.81694	3.81694	130.231
bin.5_k119_21699	13880	4.94516	4.94516	144.682
bin.5_k119_19406	77554	3.40867	3.40867	101.157
bin.5_k119_21402	140034	4.72152	4.72152	180.422
bin.5_k119_21403	64474	2.12947	2.12947	46.5011
bin.5_k119_19560	128978	2.99817	2.99817	74.9049
bin.5_k119_9563	28671	4.61295	4.61295	118.882
bin.5_k119_21820	84361	9.74811	9.74811	1493.77
bin.5_k119_18964	145351	9.1484	9.1484	597.39
bin.5_k119_12771	73443	2.6627	2.6627	64.2997
bin.6_k119_12854	6785	5.44446	5.44446	145.485
bin.6_k119_11034	4888	3.46855	3.46855	43.5942
bin.6_k119_8585	9284	6.02365	6.02365	106
bin.6_k119_1884	25336	9.14452	9.14452	254.015
bin.6_k119_12871	36408	6.15097	6.15097	154.123
bin.6_k119_16591	21900	4.7177	4.7177	101.103
bin.6_k119_14706	48936	9.56391	9.56391	352.978
bin.6_k119_14159	6611	13.1607	13.1607	751.761
bin.6_k119_15362	26003	12.3431	12.3431	450.695
bin.6_k119_8036	33395	9.28401	9.28401	291.493
bin.6_k119_6202	45892	11.7154	11.7154	668.428
bin.6_k119_665	30173	11.5699	11.5699	780.822
bin.6_k119_8647	43696	12.5155	12.5155	919.651
bin.6_k119_1301	31847	8.10581	8.10581	321.262
bin.6_k119_3685	92352	12.7155	12.7155	399.846
bin.6_k119_2574	16817	11.217	11.217	523.53
bin.6_k119_6232	14773	7.92963	7.92963	210.739
bin.6_k119_11112	22603	10.9195	10.9195	548.422
bin.6_k119_3230	16097	11.2022	11.2022	395.714
bin.6_k119_6252	7422	15.5726	15.5726	1032.73
bin.6_k119_16617	31575	8.00907	8.00907	201.918
bin.6_k119_2581	25636	10.8779	10.8779	485.794
bin.6_k119_11115	31812	7.34783	7.34783	177.591
bin.6_k119_179	24107	12.3072	12.3072	469.577
bin.6_k119_21419	15592	4.93187	4.93187	111.892
bin.6_k119_13623	84428	11.2561	11.2561	439.531
bin.6_k119_860	6483	7.46566	7.46566	207.492
